spotify_title,youtube_url,youtube_title,upload_date,confidence
2025 Year of Supernatural Harvest,https://www.youtube.com/watch?v=74lXdrsH6jk,2025 Year of Supernatural Harvest,01-17-25,100.0
Financial Freedom Workshop - Q&A,https://www.youtube.com/watch?v=8fwU37OZLlw,Financial Freedom Workshop - Q&A,10-28-24,100.0
Dead in Adam Alive in Christ - Part 2,https://www.youtube.com/watch?v=SNYOV8-Yenw,Dead in Adam Alive in Christ Part 2,10-20-24,100.0
Jesus is the Bread of Life,https://www.youtube.com/watch?v=pY-7jGnXQpM,Jesus is the Bread of Life,10-20-24,100.0
Oneness - Spirit Soul Body - part 2,https://www.youtube.com/watch?v=c_0EyITvSVQ,Oneness - Spirit Soul Body Part 2,09-19-24,100.0
Oneness United in Spirit Soul and Body,https://www.youtube.com/watch?v=IFUY_HJEuhU,Oneness United in Spirit Soul and Body Part 1,09-09-24,97.0
Faith Beyond Sight,https://www.youtube.com/watch?v=y1Nh3eS0dTk,Faith Beyond Sight,09-02-24,100.0
Book of Galatians - Part 4,https://www.youtube.com/watch?v=5oAwE2zLsgk,Book of Galatians Part 4,08-19-24,100.0
Book of Galatians - Part 3,https://www.youtube.com/watch?v=WqyWBydtC_Y,Book of Galatians Part 3,08-13-24,100.0
Book of Galatians - Part 2,https://www.youtube.com/watch?v=LRpodup3j_I,Book of Galatians Part 2,08-12-24,100.0
Book of Galatians - Part 1,https://www.youtube.com/watch?v=HEU0-7-JX5I,Book of Galatians Part 1,07-29-24,100.0
Jesus is the Door,https://www.youtube.com/watch?v=HKZgrbg-F9I,Jesus is the Door,07-28-24,100.0
Book of Romans - Part 7,https://www.youtube.com/watch?v=ImJZtcRvueA,Book of Romans Part 7,07-14-24,100.0
Book of Romans - Part 6,https://www.youtube.com/watch?v=f8b1BkdnO6U,Book of Romans Part 6,07-08-24,100.0
The New Creation,https://www.youtube.com/watch?v=hStjfMijF9E,The New Creation,07-02-24,100.0
Book of Romans - Part 5,https://www.youtube.com/watch?v=krmY91cisPI,Book of Romans Part 5,06-23-24,100.0
The Power of the Cross - Part 2,https://www.youtube.com/watch?v=-wc2gzRBwmM,The Power of the Cross Part 2,06-17-24,100.0
The Power of the Cross - Part 1,https://www.youtube.com/watch?v=GGjrdbT5ZvE,Power of the Cross Part 1,06-17-24,100.0
Book of Romans - Part 4,https://www.youtube.com/watch?v=uWfj8PLyQh8,Book of Romans Part 4,06-03-24,100.0
Book of Romans - Part 3,https://www.youtube.com/watch?v=2az9MgM8hRU,Book of Romans Part 3,05-27-24,100.0
Book of Romans - Part 2,https://www.youtube.com/watch?v=faSmp42kIlI,Book of Romans Part 2,05-26-24,100.0
Book of Romans - Preface (Part 1),https://www.youtube.com/watch?v=g6Do1Pi7Djs,Book of Romans - Preface,05-16-24,100.0
Being Son Part 2,https://www.youtube.com/watch?v=yLsa1aHUWHQ,Being Son Part 2,04-14-24,100.0
Being Son Part 1,https://www.youtube.com/watch?v=tHmO38eK2yg,BEING SON Part 1,04-08-24,100.0
Righteous Lot v/s Righteous Abraham : Carnal v/s Spirit,https://www.youtube.com/watch?v=m_qEfuanlxI,Righteous Lot vs Righteous Abraham Carnal vs Spiritual,03-10-24,97.5
Q & A 11,https://www.youtube.com/watch?v=227Dsv8vhsk,Q&A 11,03-05-24,84.8
Ishmael & Isaac Sons of Flesh (Natural) V/S Son of Promise (Supernatural_ Part 2),https://www.youtube.com/watch?v=hGkBQ1DkXKg,Ishmael & Isaac - Son of Flesh Natural vs Son of Promise,02-27-24,87.60000000000001
Ishmael & Isaac Sons of Flesh (Natural) V/S Son of Promise (Supernatural_ Part 1),https://www.youtube.com/watch?v=hGkBQ1DkXKg,Ishmael & Isaac - Son of Flesh Natural vs Son of Promise,02-27-24,87.60000000000001
Consistency brings fruitfulness,https://www.youtube.com/watch?v=OO_nq_v46ec,Consistency brings fruitfulness,02-12-24,100.0
Vision 2024 I am the Vine You are My Branches John 15,https://www.youtube.com/watch?v=MF311NHIvqY,Vision 2024 - I am the Vine You are My branches John 15,01-16-24,100.0
The True Meaning of Christmas,https://www.youtube.com/watch?v=mSSpM8XH5Vk,The True Meaning of Christmas,01-04-24,100.0
Sunday with Ps. Valentin Seicianu,https://www.youtube.com/watch?v=27SSugLCWdc,Sunday with Ps Valentin Seicianu,12-05-23,100.0
A Son not a slave,https://www.youtube.com/watch?v=OVQ6YkuuCPc,A SON not a slave,10-22-23,100.0
Power Sunday 2,https://www.youtube.com/watch?v=CKmSU8ObSuw,Power Sunday - 2,09-10-23,100.0
Imran's Supernatural Encounter with Jesus that changed his life,https://www.youtube.com/watch?v=l-DdGjcp1Bs,Imrans Supernatural Encounter with Jesus that changed his life,08-31-23,100.0
Power Sunday,https://www.youtube.com/watch?v=iBT4Va9Zckc,Power Sunday - 5,01-17-25,97.6
How to share the Gospel,https://www.youtube.com/watch?v=b5iua-KB2bI,How to share the gospel,07-12-23,100.0
Love Each Other as I have Loved You Part 4,https://www.youtube.com/watch?v=u_9ZiUnb2Mg,Love Each Other As I Have Loved You Part 4,07-04-23,100.0
Q&A 10,https://www.youtube.com/watch?v=sctlSVhdEYM,Q&A 10,06-04-23,100.0
Q&A 9,https://www.youtube.com/watch?v=GSkbfCMCqiw,Q&A 9,04-02-23,100.0
Q&A 8,https://www.youtube.com/watch?v=EnQOO7JYwjc,Q&A 8,12-12-22,100.0
Good Morning Christmas,https://www.youtube.com/watch?v=mC0UUQbsNBw,Good Morning Christmas,12-27-21,100.0
Isaiah 53,https://www.youtube.com/watch?v=9WGeVcKSeFA,Isaiah 53,12-13-21,100.0
Power of Praying in Tongues,https://www.youtube.com/watch?v=HhcOl4EnWJU,POWER OF PRAYING IN TONGUES,02-15-21,100.0
What is Baptism? Water & Spirit,https://www.youtube.com/watch?v=yaXIF_a2EhM,What is Baptism Water & Spirit,01-10-21,100.0
How can I stop worrying?,https://www.youtube.com/watch?v=xFQ9afnvfUg,HOW CAN I STOP WORRYING,12-09-20,100.0
